employee_id,years_experience,annual_salary_usd
E001,11.8,100155
E002,0.7,22000
E003,13.5,112814
E004,1.1,22000
E005,9.4,82475
E006,2.6,37334
E007,4.3,55491
E008,14.4,116204
E009,3.8,41399
E010,8.1,67224
E011,7.5,64966
E012,15.2,126206
E013,15.6,125607
E014,9.5,77738
E015,1.3,22000
E016,6.1,69341
E017,0.9,41495
E018,1.8,45734
E019,0.5,33248
E020,5.3,54596
E021,4.2,60287
E022,7.6,76841
E023,13.1,109817
E024,13.6,109852
E025,1.6,41943
E026,14.6,114755
E027,7.0,71650
E028,1.6,25808
E029,14.0,115505
E030,0.5,33525
E031,14.2,125415
E032,5.7,46809
E033,11.1,104539
E034,11.4,90764
E035,3.8,55824
E036,5.8,64790
E037,12.8,114742
E038,4.8,57520
E039,6.7,69793
E040,9.1,91530
E041,0.8,22000
E042,2.2,45917
E043,14.2,112668
E044,2.2,37286
E045,13.0,117257
E046,10.0,81827
E047,0.6,34615
E048,6.0,66740
E049,2.2,46564
E050,2.2,44304
E051,1.4,41890
E052,6.9,64370
E053,2.5,49718
E054,3.8,49477
E055,14.8,116902
E056,9.1,90855
E057,10.0,94866
E058,11.1,96251
E059,11.9,105525
E060,4.3,63673
E061,3.9,50261
E062,12.3,106731
E063,5.8,61215
E064,11.2,96694
E065,10.1,89566
E066,12.5,101751
E067,12.5,95915
E068,4.5,46376
E069,2.4,38740
E070,9.1,75973
E071,12.8,111092
E072,0.3,33918
E073,10.0,100338
E074,13.2,105429
E075,6.9,62051
E076,5.1,52873
E077,8.8,84959
E078,7.6,81761
E079,8.5,78851
E080,11.3,99058
E081,15.0,108888
E082,11.6,111339
E083,14.3,111652
E084,11.1,86152
E085,14.6,122931
E086,1.3,27072
E087,9.6,81018
E088,5.7,59271
E089,2.4,27435
E090,4.3,49774
E091,14.1,111961
E092,11.5,94208
E093,11.6,101882
E094,9.1,80971
E095,12.2,105704
E096,14.2,115558
E097,7.4,59140
E098,10.0,86011
E099,8.9,86093
E100,14.5,120022
E101,2.3,48558
E102,6.7,66065
E103,13.5,113330
E104,4.9,48397
E105,9.5,87768
E106,8.2,66044
E107,0.7,33145
E108,9.5,90129
E109,6.8,71303
E110,15.3,119528
E111,6.7,63109
E112,15.6,128927
E113,8.1,66864
E114,0.4,28421
E115,11.8,102176
E116,13.0,109026
E117,6.3,58863
E118,12.0,100682
E119,8.7,66576
E120,8.2,74508
E121,11.9,108091
E122,2.4,52332
E123,12.7,110566
E124,11.1,101351
E125,7.4,64463
E126,2.0,42664
E127,15.7,121010
E128,12.4,93801
E129,6.8,67828
E130,12.2,89182
E131,10.2,96545
E132,8.3,77682
E133,15.0,128271
E134,8.1,69070
E135,2.1,42264
E136,4.4,56742
E137,5.2,56638
E138,12.3,111194
E139,13.0,100959
E140,6.9,59318
E141,5.7,61947
E142,6.0,62622
E143,2.6,39189
E144,7.4,75106
E145,1.7,41565
E146,15.2,111818
E147,8.2,86904
E148,7.7,69170
E149,4.9,59602
E150,4.5,66755
E151,1.2,32352
E152,4.2,63139
E153,0.6,26340
E154,11.7,94992
E155,0.5,41986
E156,3.0,35315
E157,15.7,120530
E158,13.5,119657
E159,10.5,92161
E160,15.2,124136
E161,4.6,62081
E162,13.5,117726
E163,1.6,26592
E164,3.1,52746
E165,6.7,64428
E166,16.0,119553
E167,0.7,24384
E168,5.5,62772
E169,12.8,108967
E170,4.0,52868
E171,8.4,86628
E172,4.7,53408
E173,11.5,101026
E174,11.7,90406
E175,8.1,66123
E176,3.0,41264
E177,6.5,68937
E178,14.1,109914
E179,14.0,104107
E180,1.0,25532
